Datetime,Sirta_GHI,Sat_GHI_0,Clearsky_GHI,Arpege_GHI,SZA,Kc_Sat_mean,Kc_Sat_std,Kc_obs,Wreg,Sat_GHI_15,Sat_GHI_30,Sat_GHI_45,Sat_GHI_60,Sat_GHI_75,Sat_GHI_90,Sat_GHI_105,Sat_GHI_120,Sat_GHI_135,Sat_GHI_150,Sat_GHI_165,Sat_GHI_180,Sat_GHI_195,Sat_GHI_210,Sat_GHI_225,Sat_GHI_240,Sat_GHI_255,Sat_GHI_270,Sat_GHI_285,Sat_GHI_300,Sat_GHI_315,Sat_GHI_330,Sat_GHI_345,Sat_GHI_360,year,month,hour,dayofweek,quarter,dayofyear
2017-07-01 05:11:00,0.23,46.63933348467891,119.2926112087401,11.261828966666668,79.70229198236879,0.3893557896419447,0.100030269621027,0.1020404075602531,2,,,,,,,,,,,,,,,,,,,,,,,,,2017,7,5,5,3,182
2017-07-01 05:26:00,16.694666666666667,46.641916537983725,156.59387483944406,13.609398466666669,77.41045164779341,0.2350363001531484,0.0712957114312816,0.1066112367663405,2,60.43676649243442,,,,,,,,,,,,,,,,,,,,,,,,2017,7,5,5,3,182
